Exports,2015.0,01/03/2015,Sunday,United Kingdom,All,All,$,4000000.0,292000000.0
Imports,2016.0,07/06/2016,Tuesday,All,All,Sea,$,128000000.0,16092000000.0
Imports,2021.0,17/11/2021,Wednesday,All,All,All,$,272000000.0,60715000000.0
Exports,2016.0,19/04/2016,Tuesday,China,Meat and edible offal,All,$,6000000.0,393000000.0
Exports,2016.0,22/06/2016,Wednesday,China,Meat and edible offal,All,$,1000000.0,632000000.0
Exports,2015.0,15/09/2015,Tuesday,Australia,All,All,$,40000000.0,5735000000.0
Exports,2017.0,27/10/2017,Friday,All,All,Air,$,17000000.0,4459000000.0
Exports,2015.0,19/12/2015,Saturday,China,Meat and edible offal,All,$,5000000.0,1166000000.0
Imports,2019.0,10/06/2019,Monday,All,All,All,$,195000000.0,26935000000.0
Exports,2020.0,01/09/2020,Tuesday,China,Meat and edible offal,All,Tonnes,0.0,275000.0
Exports,2021.0,20/06/2021,Sunday,All,Meat and edible offal,All,Tonnes,3000.0,566000.0
Exports,2021.0,18/03/2021,Thursday,All,All,Sea,$,144000000.0,10778000000.0
Imports,2019.0,12/07/2019,Friday,China,All,All,$,41000000.0,6314000000.0
Exports,2020.0,25/11/2020,Wednesday,Australia,All,All,$,18000000.0,7290000000.0
Imports,2015.0,09/11/2015,Monday,China,All,All,$,36000000.0,8706000000.0
Exports,2017.0,14/01/2017,Saturday,East Asia (excluding China),All,All,$,22000000.0,319000000.0
Exports,2019.0,14/08/2019,Wednesday,All,Non-food manufactured goods,All,$,36000000.0,7850000000.0
Exports,2015.0,25/05/2015,Monday,United States,Meat and edible offal,All,$,6000000.0,981000000.0
Exports,2020.0,01/02/2020,Saturday,East Asia (excluding China),All,All,$,6000000.0,1120000000.0
Exports,2017.0,22/11/2017,Wednesday,All,Fruit,All,$,0.0,2595000000.0
Exports,2015.0,03/10/2015,Saturday,All,Meat and edible offal,All,$,9000000.0,5389000000.0
Exports,2016.0,31/12/2016,Saturday,All,Non-food manufactured goods,All,$,23000000.0,12474000000.0
Exports,2015.0,03/05/2015,Sunday,Total (excluding China),All,All,$,138000000.0,14177000000.0
Imports,2019.0,26/06/2019,Wednesday,China,All,All,$,37000000.0,5766000000.0
Exports,2021.0,11/08/2021,Wednesday,China,Meat and edible offal,All,Tonnes,0.0,321000.0
Imports,2020.0,11/03/2020,Wednesday,All,All,All,$,197000000.0,11300000000.0
Exports,2016.0,02/11/2016,Wednesday,Australia,All,All,$,38000000.0,6950000000.0
Exports,2020.0,09/09/2020,Wednesday,United States,Meat and edible offal,All,Tonnes,0.0,162000.0
Exports,2020.0,09/08/2020,Sunday,United States,All,All,$,6000000.0,4232000000.0
Exports,2016.0,21/07/2016,Thursday,All,Fruit,All,$,13000000.0,1901000000.0
Reimports,2016.0,11/05/2016,Wednesday,All,All,All,$,0.0,76000000.0
Exports,2016.0,01/01/2016,Friday,China,All,All,$,21000000.0,21000000.0
Exports,2017.0,13/04/2017,Thursday,United States,All,All,$,15000000.0,1571000000.0
Imports,2017.0,15/09/2017,Friday,All,All,Sea,$,147000000.0,29895000000.0
Imports,2016.0,22/03/2016,Tuesday,All,Electrical machinery and equip,All,$,16000000.0,864000000.0
Imports,2017.0,18/10/2017,Wednesday,All,Electrical machinery and equip,All,$,17000000.0,3532000000.0
Exports,2017.0,17/09/2017,Sunday,European Union (27),All,All,$,4000000.0,2760000000.0
Imports,2015.0,04/06/2015,Thursday,China,Electrical machinery and equip,All,$,5000000.0,666000000.0
Exports,2016.0,11/11/2016,Friday,Australia,All,All,$,16000000.0,7126000000.0
Reimports,2016.0,16/08/2016,Tuesday,All,All,All,$,0.0,127000000.0
Exports,2017.0,24/02/2017,Friday,European Union (27),All,All,$,15000000.0,449000000.0
Reimports,2019.0,23/11/2019,Saturday,All,All,All,$,0.0,165000000.0
Exports,2016.0,10/11/2016,Thursday,United Kingdom,All,All,$,2000000.0,1299000000.0
Reimports,2017.0,03/12/2017,Sunday,All,All,All,$,0.0,179000000.0
Exports,2021.0,22/02/2021,Monday,All,Non-food manufactured goods,All,$,22000000.0,1460000000.0
Imports,2015.0,27/03/2015,Friday,China,Electrical machinery and equip,All,$,2000000.0,347000000.0
Exports,2021.0,09/06/2021,Wednesday,China,All,All,$,28000000.0,8652000000.0
Exports,2016.0,14/12/2016,Wednesday,East Asia (excluding China),All,All,$,41000000.0,10656000000.0
Imports,2017.0,14/06/2017,Wednesday,All,Electrical machinery and equip,All,$,18000000.0,1934000000.0
Exports,2015.0,17/08/2015,Monday,All,Non-food manufactured goods,All,$,46000000.0,8259000000.0
Imports,2019.0,31/01/2019,Thursday,All,All,Sea,$,196000000.0,4284000000.0
Imports,2019.0,06/04/2019,Saturday,China,All,All,$,3000000.0,3136000000.0
Exports,2016.0,16/04/2016,Saturday,United States,Meat and edible offal,All,$,7000000.0,577000000.0
Imports,2020.0,31/03/2020,Tuesday,China,Electrical machinery and equip,All,$,14000000.0,471000000.0
Exports,2021.0,20/11/2021,Saturday,All,All,Air,$,14000000.0,5270000000.0
Exports,2015.0,22/11/2015,Sunday,China,Meat and edible offal,All,$,3000000.0,1051000000.0
Imports,2020.0,27/12/2020,Sunday,Australia,All,All,$,2000000.0,6818000000.0
Imports,2016.0,15/02/2016,Monday,All,All,Air,$,31000000.0,1177000000.0
Imports,2021.0,17/05/2021,Monday,All,Electrical machinery and equip,All,$,24000000.0,2052000000.0
Exports,2015.0,07/03/2015,Saturday,United Kingdom,All,All,$,4000000.0,332000000.0
Exports,2018.0,01/11/2018,Thursday,China,Meat and edible offal,All,$,2000000.0,1560000000.0
Exports,2021.0,14/05/2021,Friday,East Asia (excluding China),All,All,$,72000000.0,5046000000.0
Exports,2017.0,14/06/2017,Wednesday,China,Meat and edible offal,All,Tonnes,0.0,142000.0
Exports,2021.0,04/12/2021,Saturday,East Asia (excluding China),All,All,$,18000000.0,13310000000.0
Exports,2017.0,17/05/2017,Wednesday,All,All,All,$,112000000.0,19873000000.0
Exports,2016.0,09/02/2016,Tuesday,United States,All,All,$,7000000.0,598000000.0
Exports,2021.0,22/02/2021,Monday,European Union (27),All,All,$,5000000.0,400000000.0
Exports,2015.0,08/02/2015,Sunday,All,Meat and edible offal,All,Tonnes,4000.0,116000.0
Exports,2016.0,15/11/2016,Tuesday,Japan,All,All,$,13000000.0,2614000000.0
Imports,2016.0,29/04/2016,Friday,All,All,Air,$,29000000.0,3447000000.0
